No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,B64C39/00,0,他に分類されない航空機,-,-,3D140
2,B64C39/00@A,0,サイクロジヤイロ,-,-,3D140
3,B64C39/00@B,0,浮力体付き重航空機,-,-,3D140
4,B64C39/00@Z,0,その他のもの,-,-,3D140
5,B64C39/02,1,特殊用途を特徴とするもの,ＲＰＶを含む。,ＲＰＶの遠隔操縦用の地上設備はB64F1/36 に分類する。操縦はB64C13/20@Z,3D140
6,B64C39/04,1,多重胴体または尾部支材をもつもの［３］,-,-,3D140
7,B64C39/06,1,円板または環状形の翼をもつもの［３］,-,-,3D140
8,B64C39/08,1,多葉翼をもつもの［３］,-,-,3D140
9,B64C39/10,1,全翼航空機［３］,-,-,3D140
10,B64C39/12,1,先尾翼型航空機［３］,-,-,3D140
