No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
46,H04N7/15,2,会議方式［５］,カメラで撮像した人物像等の画信号を、複数地点間、双方向で送受信するテレビ会議の方式および装置。 単に１会議室での会議等のためにテレビジョン技術を応用するもの（プレゼンテーションシステム、電子ＯＨＰ等）には、原則として、この分類（下位を含む）を付与しない。 複数地点間、双方向で送受信する会議であっても、カメラで撮像した人物像等の画信号を送受信していないものには、原則として、この分類を付与しない。 カメラで撮像した画信号の送受信であっても、画信号の中身がドキュメントである場合にはＨ０４Ｎ１／００で主分類を付与する。 符号化に特徴のあるものはＨ０４Ｎ７／１３を主分類とする。,"H04N1/00（電子会議、テレライター） H04N5/222-5/232（テレビジョンカメラ、及びカメラの制御） H04N5/64（テレビ筐体） H04N5/66（画像信号の表示） H04N7/13（画像信号の符号化） H04M3/56（電話会議配置） H04M3/42（音声会議） H04R3/00,320（音源方向の検知）",5C164
47,"H04N7/15,120",3,多地点制御装置［ＭＣＵ］自体,Ｈ０４Ｎ７／１４１における２者間の双方向通信に対して、本ＦＩには３者間以上の端末間で映像信号を相互に伝送するものを付与する。,-,5C164
48,"H04N7/15,150",3,ビデオ会議の蓄積やビデオ会議へのアクセスを含むもの（コンピュータ会議コンテンツや参加者の動作を後で読み出すためのトラッキングの配置Ｈ０４Ｌ１２／１８）,ビデオ会議のセッションの開始・終了時における通信制御に関するものや、会議中の映像・音声や資料、議事録の記録及び記録された情報の閲覧等の処理に関するもの。,-,5C164
49,"H04N7/15,170",3,仮想会議空間の定義やアバター又はエージェントを使用するもの（コンピュータ会議の最適化や適応Ｈ０４Ｌ１２／１８）,アバターやエージェント等のキャラクターを会議参加者の撮影映像の代わりにビデオ会議の画面に表示させるものや、仮想空間を会議室に見立ててビデオ会議の画面表示を行うものに付与する。,-,5C164
50,H04N7/16,1,アナログ秘密テレビジョン方式；アナログ加入テレビジョン方式［１，２０１１．０１］,秘密テレビジョンの方式や加入テレビジョン方式に関するものは、Ｈ０４Ｎ７／１６－７／１７３に含まれるいずれかの分類を付与する。 一般的にＣＡＴＶ（Ｃａｂｌｅ　Ｔｅｌｅｖｉｓｉｏｎ）と呼ばれる加入契約を要するテレビジョン方式に関しても同様に付与する。 また、動画像信号のストリーミング配信技術に関しても、Ｈ０４Ｎ７／１６－７／１７３に含まれるＦＩのいずれかに付与する。 但し、伝送プロトコルに特徴のあるものは副分類のみ付与し、主分類は付与しない。,-,5C164
51,H04N7/16@A,0,装置細部,秘密テレビジョン、加入テレビジョンの装置細部に特徴のあるもの。 Ｈ０４Ｎ７／１６Ｃ、Ｅが優先。 スクランブル放送の受信デコーダー、双方向動作をするＣＡＴＶの端末や中継機器などの装置細部の構造や構成に特徴があるもの。ただし、スクランブル・デスクランブルの方式に特徴がないものに限る。,"H04N5/00,101（共同受像） H04N5/44-　5/655（受信機の回路、構造） H04N7/10（単方向動作をするもの） H04B3/00（テレビジョン信号に特徴のないもの）",5C164
52,H04N7/16@C,0,有料化装置または課金装置,秘密テレビジョン、加入テレビジョンの有料化するための装置、又は課金するための装置に特徴のあるもの。例、コインタイマー,H04M17/00（公衆電話）,5C164
53,H04N7/16@E,0,緊急放送，警報放送または強制放送,加入者端末が起動していない時、又は他のチャンネルを視聴している時などに、同報・一斉放送・緊急放送・警報・強制放送などを行うための装置に特徴のあるもの。,H04N1/32（ファクシミリの同報） H04N7/173（双方向動作） H04M3/42（映像が伴わない同報など）,5C164
54,H04N7/16@Z,0,その他のもの,秘密テレビジョン、加入テレビジョンの装置に特徴があり、Ｈ０４Ｎ７／１６Ａ～Ｅ、７／１６７及びその下位、７／１７３及びその下位に分類されないもの。,"H04N5/00,101（共同受像） H04N5/44-　5/64（受信機の回路、構造） H04N7/10（単方向動作の方式） H04N7/173（双方向動作の方式） H04B3/00（テレビジョン信号に特徴のないもの）",5C164
55,H04N7/167,2,テレビジョン信号の暗号化およびその解読［４，２０１１．０１］,テレビジョン信号のスクランブルおよびデスクランブルの方式に特徴があるもの、並びにスクランブルされたテレビジョン信号の伝送方式に特徴があるもの。 方式には特徴がなく、装置のみに特徴があるものはＨ０４Ｎ　５／４４又はＨ０４Ｎ　７／１６で主分類を付与する。,H04N1/44（ファクシミリの秘密方式）,5C164
56,H04N7/169,3,テレビジョン信号の時間領域を操作する方式［６，２０１１．０１］,-,-,5C164
57,H04N7/171,3,テレビジョン信号の振幅領域を操作する方式［６，２０１１．０１］,-,-,5C164
58,H04N7/173,2,双方向動作を伴うもの，例．加入者がプログラム選択信号を送るもの［４，２０１１．０１］,双方向動作を伴うテレビジョンの方式に特徴のあるもの。 このＦＩに主分類されるものには、ＣＡＴＶ（Ｃａｂｌｅ　Ｔｅｌｅｖｉｓｉｏｎ）、ビデオテックス（キャプテン）、ビデオオンデマンド（ＶＯＤ）等のセンターと加入者端末との間で情報の送受を行うものが該当する。 単に双方向動作を前提にした汎用のネットワーク・伝送路をＴＶ信号の伝送に利用するという技術主題に対しては、原則として、この分類（下位を含む）を付与しない。 有線テレビジョン方式の双方向中継増幅器の細部等はＨ０４Ｎ７／１０,H04N1/32（ファクシミリの制御） H04N7/10（有線テレビジョン方式）,5C164
59,"H04N7/173,610",3,中央局に特徴のあるもの,中央局（サーバ、ビデオデータ供給元等）に特徴のあるものに付与。 【キーワード】 ビデオサーバ、ビデオライブラリ,-,5C164
60,"H04N7/173,610@A",0,映像の記録再生部に特徴のあるもの,中央局側での、通常の映像記録再生に関する技術に付与。 【キーワード】 ニアビデオオンデマンド（ＮＶＯＤ）,-,5C164
61,"H04N7/173,610@B",1,映像の特殊再生，例．一時停止または巻き戻し，に特徴のあるもの,映像の特殊再生（例：一時停止・巻き戻し）に特徴のあるものに付与。,-,5C164
62,"H04N7/173,610@Z",0,その他のもの,-,-,5C164
63,"H04N7/173,620",3,伝送路に特徴のあるもの,一般的な伝送路を用いない技術に付与。,-,5C164
64,"H04N7/173,620@A",0,上り下りで伝送路が異なるもの,上り下りで伝送路が異なるもの、例えば、下りが空中波で、上りが電話回線のもの。,-,5C164
65,"H04N7/173,620@D",0,上り下り共にコンピュータまたは電話回線を用いるもの,ＣＡＴＶ専用線ではない、コンピュータ・電話回線を利用するものに付与。 ＣＡＴＶ回線を、コンピュータ・電話回線として使うものには付与しない。,-,5C164
66,"H04N7/173,620@Z",0,その他のもの,-,-,5C164
67,"H04N7/173,630",3,端末部に特徴のあるもの,受信者端末部に特徴のあるもの,-,5C164
68,"H04N7/173,640",3,選択，購入または予約に特徴のあるもの,-,-,5C164
69,"H04N7/173,640@A",0,映像番組の選択，購入または予約に特徴のあるもの,映像番組の選択・購入・予約等に特徴のあるものに付与。,-,5C164
70,"H04N7/173,640@Z",0,その他のもの,映像受信側の選択、購入、予約等が、映像番組（ＶＯＤ等）のためでないものに付与。 双方向テレビを用いたテレビショッピングの場合、テレビジョン装置の構成や動画像信号に対する処理に特徴がある場合は本ＦＩが主分類。 センタ側の受注・決済処理に特徴のあるもの、また、テレビジョン装置の構成や映像信号の処理に特徴のないものは、他テーマの分類が主。,"G06F17/60,310@E（オンラインショッピング、バーチャルショッピング、ＴＶショッピング）",5C164
71,H04N7/18,1,閉回路テレビジョン［ＣＣＴＶ］方式，すなわちビデオ信号が放送されない方式［２００６．０１］,閉回路テレビジョンの定義 （ＩＰＣの展開用語の注意書きにあるような「すなわち信号が放送されない方式」）では、「放送」の用語が特定できなければ、閉回路テレビジョンの技術的意味内容が特定できない。） 放送；「送信側の任意な一方向伝送であって、送信中の信号の受信義務を何人にも負わせない伝送方式」と定義する。すなわち、受信側が放送中常時受信を行なうこと要求しない信号形式を言う。さらに、受信側から何らかの応答・返答も必要としない伝送形式を言う。受信側は、不特定多数・特定多数のいずれも含まれ、伝送媒体も有線・無線であることを問わない。 閉回路；「受信側は、送信中の信号の受信義務を必ず負う伝送形式を言う」と定義する。すなわち、送信側は、信号を伝送した時には、受信側は、必ずモニターしていることを前提とした伝送形式を言う。一方向・双方向性のいずれの伝送形式も含まれる。送信側と受信側とには、特定の伝送関係があり、いずれの側も単数・特定多数であることを問わない。また、伝送媒体も有線・無線であることを問わない。,-,5C054
72,H04N7/18@A,0,信号の伝送方式,信号の伝送方式に関するもの,H04N7/00-7/173（テレビジョン方式）、H04N11/00-11/22（カラーテレビジョン方式）,5C054
73,H04N7/18@B,0,各種検査システム,各種検査システムに関するもの,G01N21/00（材料の調査または分析）,5C054
74,H04N7/18@C,0,各種測定システム,各種測定システムに関するもの,GO1（測定、試験）,5C054
75,H04N7/18@D,0,監視システム,監視システムに関するもの,G08B（警報装置）、G05B23/00（制御系の試験または監視）,5C054
76,H04N7/18@H,1,訪問者の監視，例．テレビインターフォン,テレビインターフォンに関するもの,H04M9/00（インターフォン）,5C054
77,H04N7/18@J,1,車両後方等の監視；車両周囲の死角監視,車両前方、後方、側方等の監視に関するもの,H04N5/225（監視用テレビカメラ）、H04N5/232（テレビカメラの制御）、B60R1/00（車両の光学的視認装置）,5C054
78,H04N7/18@E,0,監視用テレビカメラ及びその制御（監視用テレビカメラＨ０４Ｎ５／２２５）,監視用テレビカメラ及びその制御に関するもの,H04N5/225（監視用テレビカメラ）、H04N5/232（テレビカメラの制御）,5C054
79,H04N7/18@F,1,複数テレビカメラの切換制御,複数テレビカメラの切換え制御に関するもの,H04N5/232（テレビカメラの制御）,5C054
80,H04N7/18@G,0,物体の自動追尾,物体の自動追尾に関するもの,H04N5/232@C（テレビカメラの自動追尾）,5C054
81,H04N7/18@K,0,画像の解析；処理,画像の解析・処理に関するもの,G06F15/（画像処理装置）,5C054
82,H04N7/18@W,1,画像の２値化,画像の２値化に関するもの,G06F15/（画像処理装置）,5C054
83,H04N7/18@L,0,Ｘ線テレビジョンシステム,Ｘ線テレビジョンシステムに関するもの,"H04N5/32（Ｘ線撮像装置）、A61B6/（放射線診断装置）、G06T1/00,290@A（医用イメージの処理）",5C054
84,H04N7/18@M,0,内視鏡システム,内視鏡システムに関するもの,A61B1/（内視鏡）,5C054
85,H04N7/18@N,0,赤外線撮像システム,赤外線撮像システムに関するもの,H04N5/33（赤外線撮像装置）,5C054
86,H04N7/18@Q,0,超音波撮像システム,超音波撮像システムに関するもの,H04N5/31（超音波撮像装置）、A61B8/（超音波診断）,5C054
87,H04N7/18@P,0,テレビゲーム,テレビゲームに関するもの,A63F9/（各種ゲーム）,5C054
88,H04N7/18@R,0,学習器；練習器,学習器・練習器に関するもの,A63B（練習器）、G09B7/（学習器）,5C054
89,H04N7/18@S,0,柄解析；柄作成システム,柄解析・柄作成システムに関するもの,"G01B11/（光学的測定装置）、D03C19/（模様の設計,作成に関する装置）",5C054
90,H04N7/18@T,0,着順判定システム,着順システムに関するもの,"A63K（競走,乗馬設備または付属品）",5C054
91,H04N7/18@U,0,画像の表示；記録システム,画像の表示・記録システムに関するもの,-,5C054
92,H04N7/18@V,1,複数画像の合成表示システム,複数画像の合成表示システムに関するもの,H04N5/272（スーパーインポーズ）,5C054
93,H04N7/18@Z,0,その他のもの,その他のもの,-,5C054
94,H04N7/20,1,ギガヘルツ周波数帯域で伝送する方式，例．衛星を介するもの［４］,ＧＨｚの周波数帯域で伝送するテレビジョン方式に特徴のあるもの。 このＦＩに主分類されるものには、ＢＳやＣＳの衛星放送の方式がこれに該当する。 ただし、ＢＳやＣＳであっても、方式としては特徴がなく、装置のみに特徴のあるものはＨ０４Ｎ　５／００～のテレビジョン方式の細部で主分類を付与し、この分類では副分類を付与する。,H04N5/18（エネルギー拡散信号の除去） H04N5/44-5/64（受信機の回路又は構造） H04B7/185（衛星通信） H04B1/06-1/30（受信機一般）,5C164
95,"H04N7/20,610",2,送信側に特徴のあるもの,送信側の処理に特徴のあるものに付与。,-,5C164
96,"H04N7/20,620",2,伝送路，中継に特徴のあるもの,特殊な伝送路を用いるものや、中継を行うことに特徴のあるものに付与。,H04B7-14-7/195 (中継方式),5C164
97,"H04N7/20,630",2,受信側に特徴のあるもの,受信側に特徴のあるものに付与。,H04N5/44-5/64（受信機の回路又は構造）,5C164
98,H04N7/22,1,光伝送方式［４］,光によりテレビジョン信号を伝送するもの。 伝送する信号がテレビジョン信号に限定されていない単なる光通信は、Ｈ０４Ｂ　９／００で主分類を付与する。,H04N5/00@A（リモコン） H04B9/00（光通信） H01S3/10（レーザー光の変復調）,5C164
99,H04N7/24,1,パルス符号変調を用いるテレビジョン信号の伝送方式（Ｈ０４Ｎ２１／００が優先）［６，２０１１．０１］,-,-,5C164
100,H04N7/52,2,他のパルス符号変調信号，例．音響信号または同期信号，を多重するパルス符号変調映像信号の伝送方式（サーバにおける，ビデオストリームと他のコンテンツまたは付加データの組合せによる多重ストリームの組立て，スタッフィング・ビットの多重ストリームへの挿入，ＰＥＳの組立てＨ０４Ｎ２１／２３６；クライアントにおける，多重ストリームの解体，多重ストリームの再多重化，ＳＩの抽出または処理，ＰＥＳの解体Ｈ０４Ｎ２１／４３４）［６，２０１１．０１］,-,-,5C164
101,H04N7/54,3,他のパルス符号変調信号が同期しているもの［６］,-,-,5C164
102,H04N7/56,4,そのための同期方式［６］,-,-,5C164
