No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,H04N7/00,0,テレビジョン方式（細部Ｈ０４Ｎ３／００，Ｈ０４Ｎ５／００；デジタルビデオ信号を符号化，復号化，圧縮または伸張するための方法または装置Ｈ０４Ｎ１９／００；選択的なコンテンツ配信Ｈ０４Ｎ２１／００）［４，２０１１．０１］,-,-,5C063
2,H04N7/01,1,標準方式の変換［４］,-,"表示器の方式変換G09G5/00,520@V",5C063
3,"H04N7/01,050",2,書込速度と読出速度とが異なる記憶デバイスを利用するもの,フレームシンクロナイザ,-,5C063
4,"H04N7/01,120",2,標準方式の１つが映画フィルムの標準方式に対応するもの,例．テレシネ変換,-,5C063
5,"H04N7/01,170",2,空間解像度変換,例．超解像処理,"表示器の解像度変換G09G3/20,650@C；イメージの拡大縮小G06T3/40；原画の画素密度変換H04N1/387,101；原画の拡大縮小H04N1/393；電子ズームH04N5/232,960",5C063
6,"H04N7/01,200",3,インターレース信号とプログレッシブ信号との間の変換,ＩＰ変換；ＰＩ変換,"表示器の走査方式変換G09G3/20,650@E",5C063
7,"H04N7/01,220",3,アスペクト比変換,-,"表示器のアスペクト比変換G09G3/20,650@G",5C063
8,"H04N7/01,270",2,フィールドレートまたはフレームレートの変換,-,"表示器の周波数変換G09G3/20,650@J",5C063
9,"H04N7/01,350",2,補間処理を伴うもの,-,-,5C063
10,"H04N7/01,370",3,動きの有無を利用するもの,動き適応処理,-,5C063
11,"H04N7/01,400",3,動きベクトルを利用するもの,例．動き補償,予測符号化のための動き推定または動き補償H04N19/51；動きの分析G06T7/20,5C063
12,"H04N7/01,420",3,エッジ適応処理を伴うもの,-,-,5C063
13,"H04N7/01,450",3,クラス分類適応処理を伴うもの,-,-,5C063
14,H04N7/015,1,高精細度テレビジョン方式［６］,-,-,5C063
15,H04N7/025,1,デジタル非画像データ，例．テレビジョンの有効画面中のテキスト，の伝送方式［６］,-,-,5C063
16,H04N7/03,2,そのための書き込み方式［６］,-,-,5C063
17,H04N7/035,2,デジタル非画像データ信号用の回路，例．データ信号のスライス回路，データクロック信号の再生回路，データ信号の誤り検出または誤り検出回路［６］,-,-,5C063
18,H04N7/04,1,１つのテレビジョン信号，すなわち，画像および音声の両方を１つの搬送波により伝送する方式［４］,１つのテレビジョン信号を１つの搬送波により伝送する方式。,-,5C063
19,"H04N7/04,101",2,音声伝送に特徴のあるもの,１つのテレビジョン信号を１つの搬送波により伝送する方式の内、音声伝送に特徴のあるもの。（例．映像と音声との同期に関するものであって、送信側に特徴のあるもの。映像パケットと音声パケットの同期をとるもの。）,"H04N5/60@Z（受信機のみの機能によってアナログ信号処理または、音声信号の内容を利用した処理により、受信側で同期をとるもの。） H04L12/56,230@B（複数メディア間の同期）",5C063
20,H04N7/045,2,搬送波を周波数変調するもの［６］,-,-,5C063
21,H04N7/06,1,１つのテレビジョン信号，すなわち，画像および音声の両方を２つ以上の搬送波により同時に伝送する方式［４］,１つのテレビジョン信号を２以上の搬送波により同時に伝送する方式。,-,5C063
22,"H04N7/06,101",2,音声伝送に特徴のあるもの,１つのテレビジョン信号を２以上の搬送波により伝送する方式の内、音声伝送に特徴のあるもの。,-,5C063
23,H04N7/08,1,同じ周波数帯域の全部または一部をしめる２つ以上のテレビジョン信号，例．付加情報信号，を同時，または順次に伝送する方式，［４，６］,-,-,5C063
24,H04N7/08@A,0,文字放送,文字放送方式及び文字放送送受信機。 　アナログテレビジョン信号に多重するデータ放送に関して、送信情報に特徴があって、動画に関係するものは主分類を、受信機の機能のみに特徴があって、動画に関係するものには副分類を、動画に関係のないものには分類を付与しない。 【キーワード】 文字放送，文字多重，テレテキスト，クローズドキャプション,H04N5/44（テレビジョン受像機内に文字放送受信回路を有するもの） H04N5/44@A（テレビジョン受像機との接続） H04N5/44@D（視聴予約） H04N5/445@Z（文字の重畳表示） H04N5/76@Z（録画制御） H04N5/00@A（リモコン） H04N9/00@C（文字放送（カラー）） H04N5/76（文字放送信号の記録） H04N5/278（字幕の挿入） H04B1/06（受信機一般） H04B1/16（受信機一般）,5C063
25,H04N7/08@B,0,静止画放送,・テレビジョン信号に静止画像を重畳して伝送するもの。 ・静止画像のみを伝送するものはＨ０４Ｎ７／００Ｚ。双方向動作に特徴があればＨ０４Ｎ７／１４。,H04N7/00@Z（静止画伝送） H04N7/14（テレビ電話、テレビ会議） H04N7/173（ビデオテックス、キャプテン）,5C063
26,H04N7/08@Z,0,その他，例．周波数多重または時分割多重,・アナログテレビジョン信号に他の信号（例．制御信号、ファクシミリ信号）を重畳して伝送するもの。 ・ファクシミリ放送の受信機は、Ｈ０４Ｎ１／００が主。 ・音声信号の重畳に特徴のあるものは、Ｈ０４Ｎ７／０８，１０１。,H04N1/00（ファクシミリ放送受信機） H04N1/387（静止画の電子透かし） H04J3/00（時分割多重一般） H04H1/00（放送一般）,5C063
27,"H04N7/08,101",2,音声伝送に特徴のあるもの,・テレビジョン信号に音声信号を重畳して伝送するもの。 ・音声多重放送用回路は、Ｈ０４Ｎ５／６０，１０２が主。,"H04N5/60,102(音声多重放送用回路)",5C063
28,H04N7/081,2,付加情報信号を副搬送波により伝送するもの［６］,-,-,5C063
29,H04N7/083,2,垂直および水平帰線期間に信号が挿入されているもの［６］,-,-,5C063
30,H04N7/084,2,水平帰線期間に信号が挿入されているもの［６］,-,-,5C063
31,H04N7/085,3,挿入信号がデジタルであるもの［６］,-,-,5C063
32,H04N7/087,2,垂直帰線期間に信号が挿入されているもの［４］,・テレビジョン信号の垂直帰線期間内に他の信号を重畳して伝送するもの。 ・この分類は、副分類として用い、主分類はＨ０４Ｎ７／０８Ｂ、Ｚ，１０１で付ける。 ・文字放送は、垂直帰線期間に重畳する方式であるが、Ｈ０４Ｎ７／０８Ａのみを付与し、この分類は付与しない。 【キーワード】 ＶＢＩ,H04N7/08（テレビジョン信号への他の信号の重畳）,5C063
33,H04N7/088,3,挿入信号がデジタルであるもの［６］,-,-,5C063
34,H04N7/10,1,有線テレビジョン方式（Ｈ０４Ｎ７／１２が優先）［４］,有線を伝送路として用いるテレビジョンの方式に特徴のあるもの。「Ｈ０４Ｎ　７／１２」以降の概念又は「テレビジョン方式の細部」で分類されるものはそれらを主分類とする。 このＦＩに主分類されるものには、難視聴地域用のＣＡＴＶ（Ｃｏｍｍｏｎ　Ａｎｔｅｎｎａ　Ｔｅｌｅｖｉｓｉｏｎ）等のセンターから端末側へ信号が単方向に伝送されるＣＡＴＶの方式、それに用いる端末等の装置、および「Ｈ０４Ｎ　７／１２」以降の概念では分類できない有線のテレビジョン方式が該当する。 中継機器等（双方向を含む）の細部に関しては、視聴制限等に特徴のあるもの（例．センターから視聴を制限するために積極的に制御するもの）以外はこのＦＩで主分類を付与する。 有線での伝送に特徴の無いもの（例．現在、一般的にＣＡＴＶと呼ばれている加入契約が必要な「Ｃａｂｌｅ　Ｔｅｌｅｖｉｓｉｏｎ」）はＨ０４Ｎ　７／１６　～　７／１７３に分類する。,"H04N5/00,101（共同受像） H04N7/16-7/173　（加入テレビジョン方式） H04B3/00（テレビジョン信号に特徴のないもの）",5C164
35,H04N7/12,1,１チャンネルまたは複数の並列チャンネルを通してテレビジョン信号が伝送され，各チャンネルの帯域幅がテレビジョン信号の帯域幅より狭くなっている方式（Ｈ０４Ｎ７／２４が優先）［４］,・帯域圧縮：１チャンネルまたは複数の並列チャンネルを経てテレビジョン信号が伝送され、各チャンネルの帯域幅がテレビジョン信号の帯域幅より狭くなっている方式 ・この分類はアナログ帯域圧縮技術のためのものであって、いわゆるデジタルビデオ信号の圧縮符号化技術（MPEG、H.264等)は含まない。,H04N19/00（デジタルビデオ信号の圧縮符号化） H04N1/41（帯域又は冗長度の減少） H04B1/66（帯域幅の圧縮）,5C159
36,H04N7/12@A,0,誤り訂正,Ｈ０４Ｎ７／１２参照,-,5C159
37,H04N7/12@B,0,走査速度変換によるもの,Ｈ０４Ｎ７／１２参照,-,5C159
38,H04N7/12@Z,0,その他（帯域圧縮カラーＴＶ伝送方式Ｈ０４Ｎ１１／０２）,Ｈ０４Ｎ７／１２参照,-,5C159
39,H04N7/14,1,双方向動作方式（Ｈ０４Ｎ７／１７３が優先）［４］,カメラで撮像した人物像等の画信号を、１対１、双方向で送受信するテレビ電話の方式および装置。 カメラで撮像した画信号の送受信であっても、画信号の中身がドキュメントである場合にはＨ０４Ｎ１／００で主分類を付与する。 符号化に特徴があるものはＨ０４Ｎ７／１３を主分類とする。 テレビ会議が併記されている場合には、このＦＩのみ分類する 単に電話回線を利用してテレビジョン信号を伝送すると言うだけの技術主題に対しては、原則として、この分類（下位も含む）を付与しない。,H04N5/222-5/232（テレビジョンカメラ、及びカメラの制御） H04N5/64（テレビ筐体） H04N5/66（画像信号の表示） H04N7/13（画像信号の符号化） G09F9/00（表示）,5C164
40,"H04N7/14,110",2,２つのビデオ端末，例．ＴＶ電話，間の動作（エンタテインメントや情報の受信のためにテレビジョン受信機と結合された電話通信システムＨ０４Ｍ１１／００，３０２）,端末間の双方向での映像通信を２者端末間で行うもの。,-,5C164
41,"H04N7/14,120",3,端末設備の構造上の細部，例．カメラとディスプレイの配置,特に、端末のハードウエアに特徴のあるもので下位の観点に属さないものに付与する。,-,5C164
42,"H04N7/14,140",4,同一の光軸にカメラとディスプレイを配置したもの，例．視線を合わせるためにカメラとディスプレイを光学的に重ね合わせるもの,例えば、ディスプレイの背後にカメラを配置したり、撮像素子と表示素子をマトリクス上に配置したりすることにより、カメラとディスプレイの光軸を一致させるもの。視線一致を課題とした構成となっている文献に対して広めに付与される。,-,5C164
43,"H04N7/14,150",4,ハンドヘルド端末,携帯型端末による構成。,-,5C164
44,"H04N7/14,170",3,通信をアレンジするもの，例．ビデオ通信としての伝達の確認または信号の中間記憶装置（選択Ｈ０４Ｑ）,通信開始・終了時の処理に関するもの。また、２端末間での通信時に端末間に設けられた装置で行われる処理に対しても付与する。,-,5C164
45,"H04N7/14,180",3,ビデオ端末と特定の伝送媒体，例．ＩＳＤＮ，との接続,特定の伝送媒体を介したビデオ端末間の通信により発明が特徴付けられるもの。タイトルの例にとらわれず、特定の伝送媒体を用いることによる技術的特徴があるものに付与する。,-,5C164
